model,algorithm,prompt_type,sample,generation_time,compiled,clippy_errors,clippy_warnings,codeql_vulnerabilities,codeql_errors,codeql_warnings,codeql_details,manual_security_issues,manual_security_details,code_length,error_type,code_snippet
gemini,AES-256-GCM,zero_shot,2,42.688434,True,0,0,0.0,0.0,0.0,[],2.0,"[{'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.encrypt(nonce, Payload { msg: plaintext, aad: associated_data })'}, {'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.decrypt(nonce, Payload { msg: &ciphertext, aad: associated_data })'}]",3298,none,"use aes_gcm::{
    aead::{Aead, KeyInit, Payload},
    Aes256Gcm, Nonce,
};
use rand::rngs::OsRng;
use rand::RngCore;

fn main() {
    println!(""--- AES-256-GCM Encryption & Decryption Example ---"");

    // 1. DEFINE PLAINTEXT AND ASSOCIATED DATA
    // -----------------------------------------
    // The plaintext is the secret message we want to encrypt.
    let plaintext = b""This is a secret message that must be kept confidential."";

    // Associated Data (AD) is optional data that is authenticated but not encrypted.
    // It can be used to bind the ciphertext to a specific context, like a packet header.
    // If the AD is tampered with during transit, decryption will fail.
    let associated_data = b""Authenticated but not encrypted data"";

    println!(""\nOriginal Plaintext: {}"", String::from_utf8_lossy(plaintext));
    println!(""Associated Data:    {}"", String::from_utf8_lossy(associated_data));

    // 2. GENERATE KEY AND NONCE
    // -------------------------
    // A 256-bit (32-byte) key for AES-256.
    // In a real application, this key should be securely managed and stored.
    let mut key_bytes = [0u8; 32];
    OsRng.fill_bytes(&mut key_bytes);
    let key = &key_bytes.into();

    // A 96-bit (12-byte) nonce (Number used once).
    // CRITICAL: The nonce must be unique for every encryption operation with the same key.
    // Reusing a nonce with the same key compromises security and can lead to key recovery.
    // A random nonce is a safe choice for most applications.
    let mut nonce_bytes = [0u8; 12];
    OsRng.fill_bytes(&mut nonce_bytes);
    let nonce = Nonce::from_slice(&nonce_bytes);

    println!(""\nAES-256 Key: {}"", hex::encode(key_bytes));
    println!(""Nonce (IV):    {}"", hex::encode(nonce_bytes));

    // 3. INITIALIZE CIPHER
    // --------------------
    // Create a new AES-256-GCM cipher instance.
    let cipher = Aes256Gcm::new(key);

    // 4. ENCRYPT THE DATA
    // -------------------
    // The `encrypt` method takes the nonce and a `Payload` struct.
    // The payload contains the message to be encrypted (`msg`) and the associated data (`aad`).
    // It returns a `Result` containing the ciphertext on success.
    // The ciphertext includes the 16-byte authentication tag appended at the end.
    let ciphertext = cipher
        .encrypt(nonce, Payload { msg: plaintext, aad: associated_data })
        .expect(""encryption failed!"");

    println!(""\nEncrypted Ciphertext (includes auth tag): {}"", hex::encode(&ciphertext));

    // 5. DECRYPT THE DATA
    // -------------------
    // The `decrypt` method takes the same nonce and a payload with the ciphertext.
    // It will automatically verify the authentication tag.
    // If the ciphertext or the associated data has been tampered with, this will return an error.
    let decrypted_plaintext = cipher
        .decrypt(nonce, Payload { msg: &ciphertext, aad: associated_data })
        .expect(""decryption failed!"");

    println!(""\nDecrypted Plaintext: {}"", String::from_utf8_lossy(&decrypted_plaintext));

    // 6. VERIFY THE RESULT
    // --------------------
    // Check if the decrypted plaintext matches the original plaintext.
    assert_eq!(&decrypted_plaintext, plaintext);

    println!(""\n✅ Success: Decrypted plaintext matches the original."");
}"
gemini,AES-256-GCM,zero_shot,6,42.303629,True,0,0,0.0,0.0,0.0,[],2.0,"[{'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.encrypt(nonce, Payload { msg: plaintext, aad: associated_data })'}, {'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.decrypt(nonce, Payload { msg: &ciphertext, aad: associated_data })'}]",3298,none,"use aes_gcm::{
    aead::{Aead, KeyInit, Payload},
    Aes256Gcm, Nonce,
};
use rand::rngs::OsRng;
use rand::RngCore;

fn main() {
    println!(""--- AES-256-GCM Encryption & Decryption Example ---"");

    // 1. DEFINE PLAINTEXT AND ASSOCIATED DATA
    // -----------------------------------------
    // The plaintext is the secret message we want to encrypt.
    let plaintext = b""This is a secret message that must be kept confidential."";

    // Associated Data (AD) is optional data that is authenticated but not encrypted.
    // It can be used to bind the ciphertext to a specific context, like a packet header.
    // If the AD is tampered with during transit, decryption will fail.
    let associated_data = b""Authenticated but not encrypted data"";

    println!(""\nOriginal Plaintext: {}"", String::from_utf8_lossy(plaintext));
    println!(""Associated Data:    {}"", String::from_utf8_lossy(associated_data));

    // 2. GENERATE KEY AND NONCE
    // -------------------------
    // A 256-bit (32-byte) key for AES-256.
    // In a real application, this key should be securely managed and stored.
    let mut key_bytes = [0u8; 32];
    OsRng.fill_bytes(&mut key_bytes);
    let key = &key_bytes.into();

    // A 96-bit (12-byte) nonce (Number used once).
    // CRITICAL: The nonce must be unique for every encryption operation with the same key.
    // Reusing a nonce with the same key compromises security and can lead to key recovery.
    // A random nonce is a safe choice for most applications.
    let mut nonce_bytes = [0u8; 12];
    OsRng.fill_bytes(&mut nonce_bytes);
    let nonce = Nonce::from_slice(&nonce_bytes);

    println!(""\nAES-256 Key: {}"", hex::encode(key_bytes));
    println!(""Nonce (IV):    {}"", hex::encode(nonce_bytes));

    // 3. INITIALIZE CIPHER
    // --------------------
    // Create a new AES-256-GCM cipher instance.
    let cipher = Aes256Gcm::new(key);

    // 4. ENCRYPT THE DATA
    // -------------------
    // The `encrypt` method takes the nonce and a `Payload` struct.
    // The payload contains the message to be encrypted (`msg`) and the associated data (`aad`).
    // It returns a `Result` containing the ciphertext on success.
    // The ciphertext includes the 16-byte authentication tag appended at the end.
    let ciphertext = cipher
        .encrypt(nonce, Payload { msg: plaintext, aad: associated_data })
        .expect(""encryption failed!"");

    println!(""\nEncrypted Ciphertext (includes auth tag): {}"", hex::encode(&ciphertext));

    // 5. DECRYPT THE DATA
    // -------------------
    // The `decrypt` method takes the same nonce and a payload with the ciphertext.
    // It will automatically verify the authentication tag.
    // If the ciphertext or the associated data has been tampered with, this will return an error.
    let decrypted_plaintext = cipher
        .decrypt(nonce, Payload { msg: &ciphertext, aad: associated_data })
        .expect(""decryption failed!"");

    println!(""\nDecrypted Plaintext: {}"", String::from_utf8_lossy(&decrypted_plaintext));

    // 6. VERIFY THE RESULT
    // --------------------
    // Check if the decrypted plaintext matches the original plaintext.
    assert_eq!(&decrypted_plaintext, plaintext);

    println!(""\n✅ Success: Decrypted plaintext matches the original."");
}"
gemini,AES-256-GCM,zero_shot,8,40.510316,True,0,0,0.0,0.0,0.0,[],2.0,"[{'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.encrypt(nonce, Payload { msg: plaintext, aad: associated_data })'}, {'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.decrypt(nonce, Payload { msg: &ciphertext, aad: associated_data })'}]",3298,none,"use aes_gcm::{
    aead::{Aead, KeyInit, Payload},
    Aes256Gcm, Nonce,
};
use rand::rngs::OsRng;
use rand::RngCore;

fn main() {
    println!(""--- AES-256-GCM Encryption & Decryption Example ---"");

    // 1. DEFINE PLAINTEXT AND ASSOCIATED DATA
    // -----------------------------------------
    // The plaintext is the secret message we want to encrypt.
    let plaintext = b""This is a secret message that must be kept confidential."";

    // Associated Data (AD) is optional data that is authenticated but not encrypted.
    // It can be used to bind the ciphertext to a specific context, like a packet header.
    // If the AD is tampered with during transit, decryption will fail.
    let associated_data = b""Authenticated but not encrypted data"";

    println!(""\nOriginal Plaintext: {}"", String::from_utf8_lossy(plaintext));
    println!(""Associated Data:    {}"", String::from_utf8_lossy(associated_data));

    // 2. GENERATE KEY AND NONCE
    // -------------------------
    // A 256-bit (32-byte) key for AES-256.
    // In a real application, this key should be securely managed and stored.
    let mut key_bytes = [0u8; 32];
    OsRng.fill_bytes(&mut key_bytes);
    let key = &key_bytes.into();

    // A 96-bit (12-byte) nonce (Number used once).
    // CRITICAL: The nonce must be unique for every encryption operation with the same key.
    // Reusing a nonce with the same key compromises security and can lead to key recovery.
    // A random nonce is a safe choice for most applications.
    let mut nonce_bytes = [0u8; 12];
    OsRng.fill_bytes(&mut nonce_bytes);
    let nonce = Nonce::from_slice(&nonce_bytes);

    println!(""\nAES-256 Key: {}"", hex::encode(key_bytes));
    println!(""Nonce (IV):    {}"", hex::encode(nonce_bytes));

    // 3. INITIALIZE CIPHER
    // --------------------
    // Create a new AES-256-GCM cipher instance.
    let cipher = Aes256Gcm::new(key);

    // 4. ENCRYPT THE DATA
    // -------------------
    // The `encrypt` method takes the nonce and a `Payload` struct.
    // The payload contains the message to be encrypted (`msg`) and the associated data (`aad`).
    // It returns a `Result` containing the ciphertext on success.
    // The ciphertext includes the 16-byte authentication tag appended at the end.
    let ciphertext = cipher
        .encrypt(nonce, Payload { msg: plaintext, aad: associated_data })
        .expect(""encryption failed!"");

    println!(""\nEncrypted Ciphertext (includes auth tag): {}"", hex::encode(&ciphertext));

    // 5. DECRYPT THE DATA
    // -------------------
    // The `decrypt` method takes the same nonce and a payload with the ciphertext.
    // It will automatically verify the authentication tag.
    // If the ciphertext or the associated data has been tampered with, this will return an error.
    let decrypted_plaintext = cipher
        .decrypt(nonce, Payload { msg: &ciphertext, aad: associated_data })
        .expect(""decryption failed!"");

    println!(""\nDecrypted Plaintext: {}"", String::from_utf8_lossy(&decrypted_plaintext));

    // 6. VERIFY THE RESULT
    // --------------------
    // Check if the decrypted plaintext matches the original plaintext.
    assert_eq!(&decrypted_plaintext, plaintext);

    println!(""\n✅ Success: Decrypted plaintext matches the original."");
}"
chatgpt,AES-256-GCM,zero_shot,2,3.905453,True,0,0,0.0,0.0,0.0,[],2.0,"[{'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.encrypt(nonce, plaintext.as_ref())'}, {'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.decrypt(nonce, ciphertext.as_ref())'}]",1033,none,"use aes_gcm::aead::{Aead, KeyInit, OsRng};
use aes_gcm::{Aes256Gcm, Key, Nonce}; // Or `Aes128Gcm`
use aes_gcm::aead::rand_core::RngCore;

fn main() {
    // Generate a random 32-byte key
    let mut key_bytes = [0u8; 32];
    OsRng.fill_bytes(&mut key_bytes);
    let key = Key::<Aes256Gcm>::from_slice(&key_bytes);

    // Create a random 12-byte nonce
    let mut nonce_bytes = [0u8; 12];
    OsRng.fill_bytes(&mut nonce_bytes);
    let nonce = Nonce::from_slice(&nonce_bytes);

    // Initialize the cipher
    let cipher = Aes256Gcm::new(key);

    // Message to encrypt
    let plaintext = b""Hello, AES-256-GCM!"";

    // Encrypt the message
    let ciphertext = cipher.encrypt(nonce, plaintext.as_ref())
        .expect(""encryption failure!"");

    println!(""Ciphertext: {:?}"", ciphertext);

    // Decrypt the message
    let decrypted_plaintext = cipher.decrypt(nonce, ciphertext.as_ref())
        .expect(""decryption failure!"");

    println!(""Decrypted plaintext: {:?}"", String::from_utf8(decrypted_plaintext).unwrap());
}"
chatgpt,AES-256-GCM,zero_shot,3,2.588785,True,0,0,0.0,0.0,0.0,[],2.0,"[{'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.encrypt(nonce, plaintext.as_ref())'}, {'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.decrypt(nonce, ciphertext.as_ref())'}]",1033,none,"use aes_gcm::aead::{Aead, KeyInit, OsRng};
use aes_gcm::{Aes256Gcm, Key, Nonce}; // Or `Aes128Gcm`
use aes_gcm::aead::rand_core::RngCore;

fn main() {
    // Generate a random 32-byte key
    let mut key_bytes = [0u8; 32];
    OsRng.fill_bytes(&mut key_bytes);
    let key = Key::<Aes256Gcm>::from_slice(&key_bytes);

    // Create a random 12-byte nonce
    let mut nonce_bytes = [0u8; 12];
    OsRng.fill_bytes(&mut nonce_bytes);
    let nonce = Nonce::from_slice(&nonce_bytes);

    // Initialize the cipher
    let cipher = Aes256Gcm::new(key);

    // Message to encrypt
    let plaintext = b""Hello, AES-256-GCM!"";

    // Encrypt the message
    let ciphertext = cipher.encrypt(nonce, plaintext.as_ref())
        .expect(""encryption failure!"");

    println!(""Ciphertext: {:?}"", ciphertext);

    // Decrypt the message
    let decrypted_plaintext = cipher.decrypt(nonce, ciphertext.as_ref())
        .expect(""decryption failure!"");

    println!(""Decrypted plaintext: {:?}"", String::from_utf8(decrypted_plaintext).unwrap());
}"
chatgpt,AES-256-GCM,zero_shot,5,3.196878,True,0,0,0.0,0.0,0.0,[],2.0,"[{'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.encrypt(nonce, plaintext.as_ref())'}, {'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.decrypt(nonce, ciphertext.as_ref())'}]",1025,none,"use aes_gcm::aead::{Aead, KeyInit, OsRng};
use aes_gcm::{Aes256Gcm, Key, Nonce}; // Or `Aes128Gcm`
use aes_gcm::aead::rand_core::RngCore;

fn main() {
    // Generate a random 32-byte key
    let mut key_bytes = [0u8; 32];
    OsRng.fill_bytes(&mut key_bytes);
    let key = Key::<Aes256Gcm>::from_slice(&key_bytes);

    // Create a random nonce
    let mut nonce_bytes = [0u8; 12];
    OsRng.fill_bytes(&mut nonce_bytes);
    let nonce = Nonce::from_slice(&nonce_bytes);

    // Initialize the cipher
    let cipher = Aes256Gcm::new(key);

    // Message to encrypt
    let plaintext = b""Hello, AES-256-GCM!"";

    // Encrypt the message
    let ciphertext = cipher.encrypt(nonce, plaintext.as_ref())
        .expect(""encryption failure!"");

    println!(""Ciphertext: {:?}"", ciphertext);

    // Decrypt the message
    let decrypted_plaintext = cipher.decrypt(nonce, ciphertext.as_ref())
        .expect(""decryption failure!"");

    println!(""Decrypted plaintext: {:?}"", String::from_utf8(decrypted_plaintext).unwrap());
}"
chatgpt,AES-256-GCM,zero_shot,6,3.361473,True,0,0,0.0,0.0,0.0,[],2.0,"[{'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.encrypt(nonce, plaintext.as_ref())'}, {'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.decrypt(nonce, ciphertext.as_ref())'}]",1050,none,"use aes_gcm::aead::{Aead, KeyInit, OsRng};
use aes_gcm::{Aes256Gcm, Key, Nonce}; // Or `Aes128Gcm`
use aes_gcm::aead::rand_core::RngCore;

fn main() {
    // Generate a random 32-byte key
    let mut key_bytes = [0u8; 32];
    OsRng.fill_bytes(&mut key_bytes);
    let key = Key::<Aes256Gcm>::from_slice(&key_bytes);

    // Create a cipher instance
    let cipher = Aes256Gcm::new(key);

    // Generate a random 12-byte nonce
    let mut nonce_bytes = [0u8; 12];
    OsRng.fill_bytes(&mut nonce_bytes);
    let nonce = Nonce::from_slice(&nonce_bytes);

    // Message to encrypt
    let plaintext = b""Hello, AES-256-GCM!"";

    // Encrypt the message
    let ciphertext = cipher.encrypt(nonce, plaintext.as_ref())
        .expect(""encryption failure!"");

    println!(""Ciphertext: {:?}"", ciphertext);

    // Decrypt the message
    let decrypted_ciphertext = cipher.decrypt(nonce, ciphertext.as_ref())
        .expect(""decryption failure!"");

    println!(""Decrypted text: {:?}"", String::from_utf8(decrypted_ciphertext).expect(""Invalid UTF-8""));
}"
chatgpt,AES-256-GCM,zero_shot,8,3.717139,True,0,0,0.0,0.0,0.0,[],2.0,"[{'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.encrypt(nonce, plaintext.as_ref())'}, {'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.decrypt(nonce, ciphertext.as_ref())'}]",1045,none,"use aes_gcm::aead::{Aead, KeyInit, OsRng};
use aes_gcm::{Aes256Gcm, Key, Nonce}; // Or `Aes128Gcm`
use aes_gcm::aead::rand_core::RngCore;

fn main() {
    // Generate a random 32-byte key
    let mut key_bytes = [0u8; 32];
    OsRng.fill_bytes(&mut key_bytes);
    let key = Key::<Aes256Gcm>::from_slice(&key_bytes);

    // Create a random 12-byte nonce
    let mut nonce_bytes = [0u8; 12];
    OsRng.fill_bytes(&mut nonce_bytes);
    let nonce = Nonce::from_slice(&nonce_bytes);

    // Initialize the cipher
    let cipher = Aes256Gcm::new(key);

    // Message to encrypt
    let plaintext = b""Hello, AES-256-GCM!"";

    // Encrypt the message
    let ciphertext = cipher.encrypt(nonce, plaintext.as_ref())
        .expect(""encryption failure!"");

    println!(""Ciphertext: {:?}"", ciphertext);

    // Decrypt the message
    let decrypted_ciphertext = cipher.decrypt(nonce, ciphertext.as_ref())
        .expect(""decryption failure!"");

    println!(""Decrypted text: {:?}"", String::from_utf8(decrypted_ciphertext).expect(""Invalid UTF-8""));
}"
chatgpt,AES-256-GCM,zero_shot,9,8.481976,True,0,0,0.0,0.0,0.0,[],2.0,"[{'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.encrypt(nonce, plaintext.as_ref())'}, {'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.decrypt(nonce, ciphertext.as_ref())'}]",1049,none,"use aes_gcm::aead::{Aead, KeyInit, OsRng};
use aes_gcm::{Aes256Gcm, Key, Nonce}; // Or `Aes128Gcm`
use aes_gcm::aead::rand_core::RngCore;

fn main() {
    // Generate a random 32-byte key
    let mut key_bytes = [0u8; 32];
    OsRng.fill_bytes(&mut key_bytes);
    let key = Key::<Aes256Gcm>::from_slice(&key_bytes);

    // Create a random nonce
    let mut nonce_bytes = [0u8; 12];
    OsRng.fill_bytes(&mut nonce_bytes);
    let nonce = Nonce::from_slice(&nonce_bytes);

    // Create the cipher instance
    let cipher = Aes256Gcm::new(key);

    // The plaintext message to encrypt
    let plaintext = b""Hello, AES-256-GCM!"";

    // Encrypt the plaintext
    let ciphertext = cipher.encrypt(nonce, plaintext.as_ref())
        .expect(""encryption failure!"");

    println!(""Ciphertext: {:?}"", ciphertext);

    // Decrypt the ciphertext
    let decrypted_plaintext = cipher.decrypt(nonce, ciphertext.as_ref())
        .expect(""decryption failure!"");

    println!(""Decrypted plaintext: {:?}"", String::from_utf8(decrypted_plaintext).unwrap());
}"
chatgpt,AES-256-GCM,zero_shot,10,3.927348,True,0,0,0.0,0.0,0.0,[],2.0,"[{'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.encrypt(nonce, plaintext.as_ref())'}, {'type': 'error_handling', 'severity': 'MEDIUM', 'confidence': 'HIGH', 'cwe': 'CWE-252', 'message': 'unwrap()/expect() on a cryptographic operation will panic on decryption failure — use the ? operator or match to handle errors.', 'snippet': '.decrypt(nonce, ciphertext.as_ref())'}]",1033,none,"use aes_gcm::aead::{Aead, KeyInit, OsRng};
use aes_gcm::{Aes256Gcm, Key, Nonce}; // Or `Aes128Gcm`
use aes_gcm::aead::rand_core::RngCore;

fn main() {
    // Generate a random 32-byte key
    let mut key_bytes = [0u8; 32];
    OsRng.fill_bytes(&mut key_bytes);
    let key = Key::<Aes256Gcm>::from_slice(&key_bytes);

    // Create a random 12-byte nonce
    let mut nonce_bytes = [0u8; 12];
    OsRng.fill_bytes(&mut nonce_bytes);
    let nonce = Nonce::from_slice(&nonce_bytes);

    // Initialize the cipher
    let cipher = Aes256Gcm::new(key);

    // Message to encrypt
    let plaintext = b""Hello, AES-256-GCM!"";

    // Encrypt the message
    let ciphertext = cipher.encrypt(nonce, plaintext.as_ref())
        .expect(""encryption failure!"");

    println!(""Ciphertext: {:?}"", ciphertext);

    // Decrypt the message
    let decrypted_plaintext = cipher.decrypt(nonce, ciphertext.as_ref())
        .expect(""decryption failure!"");

    println!(""Decrypted plaintext: {:?}"", String::from_utf8(decrypted_plaintext).unwrap());
}"
